id,title,title_he,description,description_he,image_url,start_date,end_date,price,single_supplement_price,max_capacity,spots_left,status,difficulty_level,country_id,guide_id,trip_type_id
11,Discover Tunisia,הרפתקה בתוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-03-02,2027-03-20,5890.00,939.06,25,13,Last Places,2,32,16,1
12,Discover Malaysia,הרפתקה במלזיה,Explore the wonders of Malaysia. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-01-20,2027-02-04,4230.00,739.68,15,14,Open,1,8,13,1
13,Discover Armenia,גלה את ארמניה,Explore the wonders of Armenia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-27,2026-09-26,13270.00,2120.42,25,17,Guaranteed,1,112,3,1
14,Discover Senegal,הרפתקה בסנגל,Explore the wonders of Senegal. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2027-04-20,2027-04-26,5370.00,1009.01,20,8,Last Places,2,28,13,1
15,Discover Samoa,הקסם של סמואה,Explore the wonders of Samoa. An unforgettable journey awaits.,מסע חד פעמי בין איים וחלומות – שייט מרהיב לגן העדן הטרופי.,,2027-05-23,2027-05-29,13860.00,3098.73,12,11,Open,2,38,7,1
16,Discover Slovakia,פלאי סלובקיה,Explore the wonders of Slovakia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-03-24,2027-04-03,3400.00,712.31,25,7,Last Places,1,66,3,1
17,Discover Cambodia,קמבודיה המרתקת,Explore the wonders of Cambodia. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-12-15,2027-01-07,13570.00,2744.92,18,6,Open,3,11,14,1
18,Discover Costa Rica,פלאי קוסטה ריקה,Explore the wonders of Costa Rica. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-06-15,2026-07-04,8470.00,2057.38,12,0,Full,2,86,21,1
19,Discover Serbia,חוויה של פעם בחיים בסרביה,Explore the wonders of Serbia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-09-29,2026-10-12,4710.00,1146.07,12,3,Last Places,2,69,7,1
20,Discover Switzerland,חוויה של פעם בחיים בשוויץ,Explore the wonders of Switzerland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-10-10,2026-10-15,13350.00,2402.17,25,3,Last Places,1,79,21,1
21,Discover Morocco,חוויה של פעם בחיים במרוקו,Explore the wonders of Morocco. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-06-06,2026-06-30,6310.00,1399.31,15,8,Open,2,20,9,1
22,Discover North Korea,סיור מעמיק בצפון קוריאה,Explore the wonders of North Korea. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-02-04,2026-02-09,8830.00,2005.40,25,8,Guaranteed,3,107,9,1
23,Discover Sri Lanka,סרי לנקה: טבע ותרבות,Explore the wonders of Sri Lanka. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2027-04-20,2027-04-29,13170.00,2022.95,18,18,Open,3,10,23,1
24,Discover New Caledonia,קלדוניה החדשה המרתקת,Explore the wonders of New Caledonia. An unforgettable journey awaits.,"גלו את ניו זילנד הקסומה: פיורדים כחולים, הרים מושלגים וגייזרים מפעפעים.",,2027-04-18,2027-05-18,2810.00,674.10,15,7,Open,1,40,12,1
25,Discover Crete,כרתים ואיי יוון המרתקת,Explore the wonders of Crete. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-03-31,2027-04-10,5620.00,1338.36,12,2,Last Places,3,119,8,1
26,Discover Tajikistan,חוויה של פעם בחיים בטג'יקיסטן,Explore the wonders of Tajikistan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-03-09,2026-03-26,2790.00,658.05,15,6,Last Places,2,101,23,1
27,Discover Cuba,קובה: מסע בלתי נשכח,Explore the wonders of Cuba. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-08-05,2026-08-20,7700.00,1820.55,30,8,Last Places,3,85,7,1
28,Discover Mongolia,מונגוליה המרתקת,Explore the wonders of Mongolia. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-04-14,2026-05-07,7430.00,1142.93,24,13,Last Places,3,15,9,1
29,Discover Greenland,גרינלנד – מסע חלומות,Explore the wonders of Greenland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-04-20,2026-05-03,2900.00,640.55,12,8,Open,3,116,19,1
30,Discover Nepal,חוויה של פעם בחיים בנפאל,Explore the wonders of Nepal. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-04-29,2027-05-14,14760.00,2677.34,30,3,Last Places,3,9,22,1
31,Discover Holland,הולנד: טבע ותרבות,Explore the wonders of Holland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-06-13,2026-07-05,4600.00,778.25,25,12,Open,3,52,23,1
32,Discover North Korea,סיור מעמיק בצפון קוריאה,Explore the wonders of North Korea. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-06-17,2026-07-01,6300.00,1215.83,24,19,Open,2,107,1,1
33,Discover Tibet,טיבט המרתקת,Explore the wonders of Tibet. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-04-09,2026-05-05,3730.00,665.35,25,20,Open,3,102,24,1
34,Discover Ghana,סיור מעמיק בגאנה,Explore the wonders of Ghana. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-03-29,2026-04-03,2940.00,512.98,20,19,Open,1,29,7,1
35,Discover Sicily,הרפתקה בסיציליה,Explore the wonders of Sicily. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-17,2026-05-26,2110.00,504.85,30,24,Open,1,64,13,1
36,Discover Montenegro,מונטנגרו: מסע בלתי נשכח,Explore the wonders of Montenegro. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-10-25,2026-11-06,4480.00,876.49,30,14,Open,3,60,2,1
37,Discover Thailand,אוצרות תאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-01-28,2027-02-17,11210.00,1972.05,15,8,Open,2,3,6,2
38,Discover Italy,גלה את איטליה,Explore the wonders of Italy. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-06-01,2026-06-16,8540.00,2043.64,12,2,Last Places,1,42,8,2
39,Discover Japan,פלאי יפן,Explore the wonders of Japan. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-07-01,2026-07-23,11540.00,2210.80,15,13,Open,2,2,14,2
40,Discover Japan,יפן: מסע בלתי נשכח,Explore the wonders of Japan. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-01-16,2026-02-01,8110.00,1827.57,30,28,Open,2,2,16,2
41,Discover Spain,ספרד – מסע חלומות,Explore the wonders of Spain. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-24,2026-09-13,2590.00,489.21,25,21,Open,2,67,9,2
42,Discover Japan,יפן: טבע ותרבות,Explore the wonders of Japan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-10-28,2026-11-23,2550.00,403.91,20,4,Last Places,2,2,19,2
43,Discover Spain,סיור מעמיק בספרד,Explore the wonders of Spain. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-29,2026-07-14,9760.00,1735.58,30,13,Last Places,1,67,15,2
44,Discover Spain,ספרד: טבע ותרבות,Explore the wonders of Spain. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-02-17,2026-03-18,2820.00,635.69,15,6,Guaranteed,3,67,21,2
45,Discover Bolivia,פלאי בוליביה,Explore the wonders of Bolivia. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2027-05-13,2027-05-24,11520.00,2533.78,30,11,Guaranteed,3,90,19,2
46,Discover Bolivia,מסע אל מעמקי בוליביה,Explore the wonders of Bolivia. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-01-26,2026-02-09,13790.00,3002.56,20,12,Open,1,90,19,2
47,Discover Italy,איטליה: מסע בלתי נשכח,Explore the wonders of Italy. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-16,2026-12-16,4470.00,1026.41,24,1,Last Places,2,42,22,2
48,Discover India,הרפתקה בהודו,Explore the wonders of India. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-03-23,2027-04-10,12030.00,1931.46,18,14,Open,1,1,1,2
49,Discover Mexico,מסע אל מעמקי מקסיקו,Explore the wonders of Mexico. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-09-17,2026-10-06,10920.00,2539.70,24,8,Last Places,1,83,25,2
50,Discover Cuba,גלה את קובה,Explore the wonders of Cuba. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-12-21,2027-01-07,8880.00,1357.49,30,10,Guaranteed,2,85,20,2
51,Discover Cuba,קובה – מסע חלומות,Explore the wonders of Cuba. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2027-04-08,2027-04-21,13380.00,2020.58,15,2,Last Places,1,85,23,2
52,Discover Thailand,הרפתקה בתאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-01-12,2027-02-01,11170.00,2561.21,12,4,Last Places,1,3,21,2
53,Discover Cuba,קובה – מסע חלומות,Explore the wonders of Cuba. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-09-12,2026-10-04,12870.00,2372.92,25,17,Last Places,2,85,12,2
54,Discover Spain,ספרד: טבע ותרבות,Explore the wonders of Spain. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-01-17,2027-01-28,8460.00,1370.14,24,24,Open,3,67,4,2
55,Discover Italy,גלה את איטליה,Explore the wonders of Italy. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-10,2026-12-09,12740.00,2671.31,12,3,Last Places,2,42,24,2
56,Discover Brazil,ברזיל: טבע ותרבות,Explore the wonders of Brazil. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-10-13,2026-10-22,7610.00,1176.14,12,8,Last Places,3,91,23,2
57,Discover Cuba,מסע אל מעמקי קובה,Explore the wonders of Cuba. An unforgettable journey awaits.,"גלו את יופי המערב הפראי: קניונים אדומים, נופים אינסופיים ופארקים לאומיים מרהיבים.",,2026-09-10,2026-09-30,11020.00,2028.46,12,4,Last Places,2,85,10,2
58,Discover Cuba,מסע אל מעמקי קובה,Explore the wonders of Cuba. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-12-30,2027-01-05,5100.00,841.09,24,9,Guaranteed,1,85,21,2
59,Discover Mexico,הקסם של מקסיקו,Explore the wonders of Mexico. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-08-31,2026-09-19,8080.00,1907.01,20,9,Open,3,83,13,2
60,Discover Spain,הקסם של ספרד,Explore the wonders of Spain. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-12-17,2026-12-24,5210.00,906.47,24,2,Last Places,1,67,9,2
61,Discover Italy,גלה את איטליה,Explore the wonders of Italy. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-05-11,2026-05-25,7790.00,1716.13,20,2,Last Places,3,42,2,2
62,Discover Bolivia,הקסם של בוליביה,Explore the wonders of Bolivia. An unforgettable journey awaits.,"הרפתקה של פעם בחיים ביבשת הססגונית – טבע פראי, תרבויות מרתקות וערים תוססות.",,2026-05-08,2026-06-02,5050.00,1216.25,30,4,Last Places,1,90,18,2
63,Discover Thailand,סיור מעמיק בתאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-09-09,2026-10-06,8220.00,1808.18,18,16,Open,3,3,4,2
64,Discover Brazil,פלאי ברזיל,Explore the wonders of Brazil. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2027-01-24,2027-02-08,14360.00,2513.53,12,3,Last Places,3,91,14,2
65,Discover Cuba,פלאי קובה,Explore the wonders of Cuba. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2027-02-07,2027-03-08,5580.00,1099.54,25,14,Last Places,1,85,2,2
66,Discover India,חוויה של פעם בחיים בהודו,Explore the wonders of India. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-07-02,2026-07-17,4140.00,976.10,18,13,Open,2,1,14,2
67,Discover Thailand,אוצרות תאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-06-23,2026-07-06,8620.00,1392.92,30,12,Open,1,3,3,2
68,Discover Spain,חוויה של פעם בחיים בספרד,Explore the wonders of Spain. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-07-17,2026-08-10,12200.00,2593.00,30,1,Last Places,1,67,17,2
69,Discover Thailand,חוויה של פעם בחיים בתאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-09-18,2026-09-26,2590.00,640.55,24,7,Open,1,3,23,2
70,Discover Japan,יפן – מסע חלומות,Explore the wonders of Japan. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-05-08,2026-05-16,11450.00,2801.88,25,4,Last Places,2,2,3,2
71,Discover Thailand,מסע אל מעמקי תאילנד,Explore the wonders of Thailand. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-09-03,2026-09-25,4960.00,934.26,24,16,Open,1,3,8,2
72,Discover Brazil,ברזיל: מסע בלתי נשכח,Explore the wonders of Brazil. An unforgettable journey awaits.,"מסע אל לב יער הגשם האמזוני, בין עצים עתיקים וחיות בר נדירות.",,2027-01-19,2027-02-02,14020.00,2916.05,25,15,Guaranteed,2,91,10,2
73,Discover Thailand,תאילנד המרתקת,Explore the wonders of Thailand. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-04-03,2027-04-14,6890.00,1427.47,15,13,Open,1,3,11,2
74,Discover Peru,מסע אל מעמקי פרו,Explore the wonders of Peru. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2027-05-21,2027-05-27,4580.00,917.05,24,10,Guaranteed,2,92,16,2
75,Discover Rwanda,הרפתקה ברואנדה,Explore the wonders of Rwanda. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2027-05-24,2027-06-02,3530.00,695.23,18,10,Open,3,23,21,3
76,Discover Rwanda,רואנדה: מסע בלתי נשכח,Explore the wonders of Rwanda. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-03-28,2027-04-19,9780.00,2400.15,25,22,Open,2,23,22,3
77,Discover Tanzania,טנזניה: טבע ותרבות,Explore the wonders of Tanzania. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-02-28,2026-03-18,4010.00,906.41,25,3,Last Places,2,19,24,3
78,Discover South Africa,אוצרות דרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-06-12,2026-06-28,9670.00,1866.97,15,13,Open,3,17,2,3
79,Discover Kenya,גלה את קניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-04-03,2027-04-20,14690.00,3207.02,20,18,Open,1,18,20,3
80,Discover Uganda,סיור מעמיק באוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-04-18,2027-05-18,11520.00,2766.19,25,17,Guaranteed,1,22,1,3
81,Discover Uganda,הרפתקה באוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-09-03,2026-09-17,6070.00,1517.12,30,15,Guaranteed,1,22,9,3
82,Discover South Africa,הקסם של דרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2027-05-28,2027-06-23,10100.00,1792.23,24,21,Open,3,17,1,3
83,Discover Botswana,אוצרות בוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-05-05,2026-05-30,5890.00,1249.20,25,24,Open,3,26,12,3
84,Discover Uganda,חוויה של פעם בחיים באוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-02-02,2026-02-16,11020.00,1689.77,18,4,Last Places,1,22,21,3
85,Discover Tanzania,חוויה של פעם בחיים בטנזניה,Explore the wonders of Tanzania. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2027-04-06,2027-04-22,12870.00,2576.31,18,5,Last Places,2,19,18,3
86,Discover Kenya,הרפתקה בקניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-02-03,2027-02-15,10130.00,2499.34,30,17,Last Places,1,18,5,3
87,Discover South Africa,אוצרות דרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-01-31,2027-02-26,7360.00,1534.24,30,20,Last Places,1,17,22,3
88,Discover Botswana,אוצרות בוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-04-26,2027-05-20,6530.00,1402.42,25,14,Open,2,26,11,3
89,Discover Kenya,סיור מעמיק בקניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-06-17,2026-07-07,4370.00,697.97,24,4,Last Places,2,18,2,3
90,Discover Namibia,נמיביה המרתקת,Explore the wonders of Namibia. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-03-04,2026-03-24,14600.00,2785.85,18,1,Last Places,3,25,21,3
91,Discover Rwanda,חוויה של פעם בחיים ברואנדה,Explore the wonders of Rwanda. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-03-04,2026-03-30,9520.00,1946.33,25,11,Guaranteed,2,23,12,3
92,Discover Kenya,גלה את קניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-05-01,2026-05-26,14220.00,3513.89,12,12,Open,2,18,22,3
93,Discover Botswana,הקסם של בוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-03-05,2027-03-17,8720.00,1983.25,30,28,Open,3,26,7,3
94,Discover Botswana,בוטסואנה המרתקת,Explore the wonders of Botswana. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-02-25,2027-03-07,4250.00,918.45,12,2,Last Places,1,26,9,3
95,Discover South Africa,סיור מעמיק בדרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-03-18,2026-04-15,10620.00,2151.70,25,2,Last Places,2,17,2,3
96,Discover Botswana,סיור מעמיק בבוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-01-20,2027-02-19,12670.00,2282.67,25,0,Full,1,26,2,3
97,Discover Uganda,פלאי אוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-02-19,2026-02-26,8590.00,1811.03,12,2,Last Places,2,22,15,3
